No,Kategori Inventaris,Asset Name,Code,Serial Number,User,Username,Department,Condition,Date,Purchase Date,Updated By,Note
257,Phone,SAMSUNG GALAXY A07 BLACK 4/128,002-B/IV/2026,R9RL4022HKN,Unknown,,Unknown,Good,2026-04-27,2026-06-17,IT Administrator,-
258,Phone,SAMSUNG GALAXY A07 BLACK 4/128,003-B/IV/2026,R9RL4022JYW,Unknown,,Unknown,Good,2026-04-27,2026-08-13,IT Administrator,-
259,Phone,SAMSUNG GALAXY A05 - SILVER,001-B/X/2024,R9CWB04DLXA,Unknown,,Unknown,Good,2024-10-28,2026-06-18,IT Administrator,-
260,Phone,SAMSUNG GALAXY A07 - BLACK,001-B/V/2026,R9RL402HHFF,Unknown,,Unknown,Good,2026-05-28,2026-06-18,IT Administrator,-
261,Phone,IPHONE 11,001-B/VI/2026,FFWKD9NHN73F,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
262,Phone,SAMSUNG GALAXY A07 - BLACK,003-B/V/2026,R9RL402HMRB,Unknown,,Unknown,Good,2026-05-28,2026-07-17,IT Administrator,-
263,Phone,SAMSUNG GALAXY A07 - BLACK,002-B/V/2026,R9RL402K8GD,Unknown,,Unknown,Good,2026-05-28,2026-08-06,IT Administrator,-
264,Phone,SAMSUNG GALAXY A57,001-B/VIII/2026,RRGL605WPMW,Unknown,,Unknown,Good,2026-07-31,2026-08-06,IT Administrator,-
265,Phone,SAMSUNG GALAXY A57,002-B/VIII/2026,RRGL605WP6X,Unknown,,Unknown,Good,2026-07-31,2026-08-04,IT Administrator,-
266,PC,DESKTOP PC LENOVO 10102 - i3 - 4GB,SA-PND-IT/001/00,962QSL1,Unknown,,Unknown,Good,2026-06-04,,IT Administrator,
267,PC,PC (NO-BRAND),SA-PND-IT/001/00-2,E588HRHZ702960J,Unknown,,Unknown,Good,2026-05-31,,IT Administrator,
268,PC,DESKTOP DELL INSPIRON ONE 2310 - i3 - 6GB,SA-PND-IT/001/0023,66Q33P1,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
269,PC,PC BUILD UP i3-12100 8/512,001-D/IV/2026,JAM0XB103117,Unknown,,Unknown,Good,2026-04-15,,IT Administrator,WIN11 PRO : FK8N6-WRPW8-XCVJT-6Y777-YY49G
270,PC,PC BUILD UP i3-12100 8/512,002-D/IV/2026,JAM0XB103111,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
271,PC,LENOVO IDEACENTRE AIO 3 24IAP7,001-D/XII/2024,MP2A9AF7,Unknown,,Unknown,Good,2026-07-03,,IT Administrator,PURCHASE 12122024
272,PC,LENOVO IDEACENTRE AIO 3 24IAP7,002-D/XII/2024,MP2A9AFH,Unknown,,Unknown,Good,2026-07-03,,IT Administrator,PURCHASE 12122024
273,PC,LENOVO IDEACENTRE AIO 3 24IAP7,003-D/XII/2024,MP2A89TV,Unknown,,Unknown,Good,2026-07-03,,IT Administrator,PURCHASE 12122024
274,PC,DESKTOP LENOVO 10102 - i3 3000 - 4GB,SA-PND-IT/001/0108,VS80150080,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
275,PC,DESKTOP DELL INSPIRON ONE 2310 - i3 - 6GB,SA-PND-IT/001/00-3,69133P1,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
276,PC,LENOVO IDEACENTRE TOWER 08IRR9,001-D/I/2026,YLT1BK5A,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
277,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM - 4GB,SA-PND-IT/001/00-4,PWGBE020051150124B3000,Unknown,,Unknown,Good,2026-07-31,,IT Administrator,
278,PC,DESKTOP GATEWAY ZX4930 - Intel Pentium - 6GB,SA-PND-IT/001/0070,PWGBE02005115012793000,Unknown,,Unknown,Good,2026-07-31,,IT Administrator,
279,PC,DESKTOP DELL INSPIRON ONE 2310 - i3 - 4GB,SA-PND-IT/001/00-5,68G33P1,Unknown,,Unknown,Good,2026-05-12,,IT Administrator,
280,PC,DEKSTOP LENOVO 10102 - i3 - 8GB,SA-PND-IT/001/0037,VS80472108,Unknown,,Unknown,Good,2026-07-31,,IT Administrator,
281,PC,DESKTIOP DELL INSPIRON ONE 2310,SA-PND-IT/001/00-6,6FH23P1,Unknown,,Unknown,Good,2026-07-31,,IT Administrator,
282,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM,SA-PND-IT/001/00-7,68Z23P1,Unknown,,Unknown,Good,2026-07-31,,IT Administrator,
283,PC,DESKTIOP DELL INSPIRON ONE 2310 - i3 - 3GB,SA-PND-IT/001/00-8,HYYX2P1,Unknown,,Unknown,Good,2026-07-31,,IT Administrator,
284,PC,DESKTOP PC LENOVO 10102 - i3 - 4GB,SA-PND-IT/001/00-9,VS80148947,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
285,PC,DESKTOP LENOVO - i3 - 4GB,SA-PND-IT/001/0104,VS80257632,Unknown,,Unknown,Good,2026-07-31,,IT Administrator,
286,PC,LENOVO IDEACENTRE AIO 3 24IAP7,001-D/IX/2025,MP2Z1TF2,Unknown,,Unknown,Good,2026-07-04,,IT Administrator,PURCHASE 08/09/2025
287,PC,LENOVO IDEACENTRE AIO 3 24IAP7,002-D/V/2025,MP2AWKJ5,Unknown,,Unknown,Good,2026-07-03,,IT Administrator,PURCHASE 08/09/2025
288,PC,LENOVO IDEACENTRE TOWER 08IRR9,002-D/I/2026,YLT1BK55,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
289,PC,LENOVO IDEACENTRE AIO 3 24IAP7,001-D/X/2025,MP2Z1P73,Unknown,,Unknown,Good,2026-07-03,,IT Administrator,03/10/2025
290,PC,DESKTOP GATEWAY - INTEL PENTIUM - 2GB,SA-PND-IT/001/0076,PWGBE020051150122A3000,Unknown,,Unknown,Good,2026-07-03,,IT Administrator,
291,PC,DESKTOP LENOVO 10102 - i3 - 4GB,SA-PND-IT/001/00-10,VS80158259,Unknown,,Unknown,Good,2026-07-03,,IT Administrator,
"292,PC,""iMAC 2019 - 27"""" i9 - RAM 40GB - 2TB"",007-B/III/2023,C02Z41Q4JV40,Unknown,,Unknown,Good,2026-03-11,,IT Administrator,"
293,PC,DESKTOP DELL INSPIRON ONE 2310 - i3 - 6GB,SA-PND-IT/001/00xx,66Q23P1,Unknown,,Unknown,Good,2026-07-04,,IT Administrator,
294,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM,SA-PND-IT/001/00-11,PWGBE0200612900C173000,Unknown,,Unknown,Good,2026-07-04,,IT Administrator,
295,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM,SA-PND-IT/001/00-12,PWGBE02005115012133000,Unknown,,Unknown,Good,2026-07-04,,IT Administrator,
296,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM,SA-PND-IT/001/00-13,PWGBE02005115012723000,Unknown,,Unknown,Good,2026-07-04,,IT Administrator,
297,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM,SA-PND-IT/001/00-14,PWGBE02006127024FF3000,Unknown,,Unknown,Good,2026-07-04,,IT Administrator,
298,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM,SA-PND-IT/001/0069,PWGBE02006127024D23000,Unknown,,Unknown,Good,2026-07-04,,IT Administrator,
299,PC,DESKTOP GATEWAY ZX4930 - Intel Pentium - 4GB,SA-PND-IT/001/0071,PWGBE02006127024DA3000,Unknown,,Unknown,Good,2026-05-12,,IT Administrator,
300,PC,DESKTOP GATEWAY ZX4930 - INTEL PENTIUM,SA-PND-IT/001/00-15,PWGBE02006127025183000,Unknown,,Unknown,Good,2026-05-12,,IT Administrator,
301,PC,LENOVO IDEACENTRE AIO 3 24IAP7,002-D/IX/2025,MP2Z1RC6,Unknown,,Unknown,Good,2026-05-12,,IT Administrator,PURCHASE 08/09/2025
302,PC,DESKTOP LENOVO 10102 - i3 3000 - 4GB,SA-PND-IT/001/0109,VS80472124,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
303,PC,DESKTOP LENOVO IDEACENTRE B320 - i3 - 8GB,SA-PND-IT/001/00-16,VS50182461,Unknown,,Unknown,Good,2026-07-06,,IT Administrator,
304,PC,SET PC CUSTOM - i7-14700 - 16GB,001-D/VIII/2026,07E4410940942Q21E051750,Unknown,,Unknown,Good,2026-08-10,,IT Administrator,PURCHASE 07/08/2026
305,PC,SET PC CUSTOM - i7-14700 - 16GB,002-D/VIII/2026,07E4410273615Q21E496757,Unknown,,Unknown,Good,2026-08-10,,IT Administrator,PURCHASE 07/08/2026
306,PC,SET PC CUSTOM - i7-14700 - 16GB,003-D/VIII/2026,07E4410124177Q21E052077,Unknown,,Unknown,Good,2026-08-10,,IT Administrator,PURCHASE 07/08/2026
307,PC,SET PC CUSTOM - i7-14700 - 16GB,004-D/VIII/2026,0WK5HNCL400836B,Unknown,,Unknown,Good,2026-08-10,,IT Administrator,PURCHASE 07/08/2026
308,PC,SET PC CUSTOM - i7-14700 - 16GB,005-D/VIII/2026,07E4410051004Q21E045830,Unknown,,Unknown,Good,2026-08-10,,IT Administrator,PURCHASE 07/08/2026
309,Printer,Epson L4260,002-B/V/2023,X8SS013782,Unknown,,Unknown,Good,2026-08-11,,IT Administrator,
310,Printer,Epson L4260,003-B/V/2023,X8SS013801,Unknown,,Unknown,Good,2026-08-12,,IT Administrator,
311,Printer,HP Laserjet Pro MFP M28w,004-B/V/2023,VNC2L14863,Unknown,,Unknown,Good,2026-08-13,,IT Administrator,
312,Printer,Epson L4260,005-B/V/2023,X8SS015684,Unknown,,Unknown,Good,2026-08-14,,IT Administrator,
313,Printer,Epson L4160,006-B/V/2023,X4E2041871,Unknown,,Unknown,Good,2026-08-15,,IT Administrator,
314,Printer,ID Card Printer Zebra ZXP Series 3,006-B/V/2023-2,Z3J190400662,Unknown,,Unknown,Good,2026-08-16,,IT Administrator,
315,Printer,ID Card Printer Zebra ZXP Series 3,007-B/V/2023,Z3J185200725,Unknown,,Unknown,Good,2026-08-17,,IT Administrator,
316,Printer,HP Laserjet P1102,008-B/V/2023,VNF6H48798,Unknown,,Unknown,Good,2026-08-18,,IT Administrator,
317,Printer,HP Laserjet pro mfp M28,009-B/V/2023,VNC3L14757,Unknown,,Unknown,Good,2026-08-19,,IT Administrator,
318,Printer,Epson L4260,010-B/V/2023,X8SS015133,Unknown,,Unknown,Good,2026-08-20,,IT Administrator,
319,Printer,HP Laserjet P1102,011-B/V/2023,VNF8M48432,Unknown,,Unknown,Good,2026-08-21,,IT Administrator,
320,Printer,HP Laserjet P1102,012-B/V/2023,VNF6H43758,Unknown,,Unknown,Good,2026-08-22,,IT Administrator,
321,Printer,Epson L360,SA-BTJ-IT/002/0002,X3GW194089,Unknown,,Unknown,Good,2026-08-25,,IT Administrator,
322,Printer,EPSON L3210,016-B/V/2023,XAGK118374,Unknown,,Unknown,Good,2026-08-26,,IT Administrator,
323,Printer,Canon IP2770,018-B/V/2023,KNFR83376,Unknown,,Unknown,Good,2026-08-27,,IT Administrator,
324,Printer,Brother DCPT310,019-B/V/2023,E78655G9H674302,Unknown,,Unknown,Good,2026-08-28,,IT Administrator,
325,Printer,Printer HP 1102,038-B/V/V2023,VNC3C20676,Unknown,,Unknown,Good,2026-08-29,,IT Administrator,
326,Printer,Printer Boarding Pass,020-B/V/2023,NK6F002499,Unknown,,Unknown,Good,2026-08-30,,IT Administrator,
327,Printer,PRINTER CANON MP237,SA-MKW-IT/002/0001,CN010006121499,Unknown,,Unknown,Good,2026-08-31,,IT Administrator,
328,Printer,PRINTER EPSON L360,021-B/V/2023,X3GW154660,Unknown,,Unknown,Good,2026-09-01,,IT Administrator,
329,Printer,Printer Boarding Pass,042-B/V/2023,J54F015700,Unknown,,Unknown,Good,2026-09-02,,IT Administrator,
330,Printer,PRINTER EPSON L3210,022-B/V/2023,X8HT001352,Unknown,,Unknown,Good,2026-09-03,,IT Administrator,
331,Printer,PRINTER EPSON M129H,023-B/V/2023,NK6F002499,Unknown,,Unknown,Good,2026-09-04,,IT Administrator,
332,Printer,PRINTER EPSON L3110,024-B/V/2023,X21K00733,Unknown,,Unknown,Good,2026-09-05,,IT Administrator,
333,Printer,PRINTER CANON PIXMA G2770,025-B/V/2023,QC3-5062,Unknown,,Unknown,Good,2026-09-06,,IT Administrator,Ex Tanah Merah
334,Printer,PRINTER EPSON L3860,026-B/V/2023,X3GW391160,Unknown,,Unknown,Good,2026-09-07,,IT Administrator,
335,Printer,PRINTER EPSON L3216,027-B/V/2023,X8H5005530,Unknown,,Unknown,Good,2026-09-08,,IT Administrator,
336,Printer,PRINTER EPSON L3256,028-B/V/2023,X8JW013847,Unknown,,Unknown,Good,2026-09-09,,IT Administrator,
337,Printer,PRINTER EPSON L3510,029-B/V/2023,X5EM109457,Unknown,,Unknown,Good,2026-09-10,,IT Administrator,
338,Printer,PRINTER EPSON L3210,030-B/V/2023,XAGK291156,Unknown,,Unknown,Good,2026-09-11,,IT Administrator,
339,Printer,PRINTER CANON MP237,031-B/V/2023,CN-010-005 845 353,Unknown,,Unknown,Good,2026-09-12,,IT Administrator,?
340,Printer,PRINTER EPSON L3110,040-B/V/2023,EP-017-19-0226-726,Unknown,,Unknown,Good,2026-09-13,,IT Administrator,
341,Printer,EPSON L3210,041-B/V/2023,XAGK485597Q,Unknown,,Unknown,Good,2026-09-14,,IT Administrator,
342,Printer,PRINTER L3210,032-B/V/2023,-,Unknown,,Unknown,Good,2026-09-15,,IT Administrator,
343,Printer,Printer Panda PRJ-58B,033-B/V/2023,-,Unknown,,Unknown,Good,2026-09-16,,IT Administrator,geoffrey office
344,Printer,Printer Panda PRJ-58B,034-B/V/2023,-,Unknown,,Unknown,Good,2026-09-17,,IT Administrator,geoffrey office
345,Printer,Epson L4260,035-B/V/2023,X8SS017269,Unknown,,Unknown,Good,2026-09-18,,IT Administrator,
346,Printer,Epson L4260,036-B/V/2023,X8SS917369,Unknown,,Unknown,Good,2026-09-19,,IT Administrator,
347,Printer,Epson L4260,037-B/V/2023,X8SS021264,Unknown,,Unknown,Good,2026-09-20,,IT Administrator,ex Geoffrey Office
348,Printer,Epson L4260,005-B/XII/2023,X8SS020020,Unknown,,Unknown,Good,2026-09-21,,IT Administrator,
349,Printer,Epson L4260,001-C/III/2024,X8SS024957,Unknown,,Unknown,Good,2026-09-22,,IT Administrator,
350,Printer,Epson L4260,001-C/VII/2024,X8SS027085,Unknown,,Unknown,Good,2026-09-23,,IT Administrator,
351,Printer,Epson L3210,001-C/IX/2024,XAGKD50041,Unknown,,Unknown,Good,2026-09-24,,IT Administrator,
352,Printer,Epson L3210,001-C/XI/2024,XAGKC90669,Unknown,,Unknown,Good,2026-09-25,,IT Administrator,
353,Printer,Epson L3110,002-C/XI/2024,X6NX380353,Unknown,,Unknown,Good,2026-09-26,,IT Administrator,
354,Printer,Epson L4260,001-C/VIII/2024,X8SS014145,Unknown,,Unknown,Good,2026-09-27,,IT Administrator,HANGAR
355,Printer,Epson L4260,001-C/II/2025,X8SS029258,Unknown,,Unknown,Good,2026-09-28,,IT Administrator,
356,Printer,BROTHER DCP L3551 CDW,002-C/II/2025,E79051C3N310274,Unknown,,Unknown,Good,2026-09-29,,IT Administrator,
357,Printer,BROTHER DCP L3551 CDW,003-C/II/2025,E79051C3N310229,Unknown,,Unknown,Good,2026-09-30,,IT Administrator,
358,Printer,BROTHER DCP L3551 CDW,004-C/II/2025,E79051C3N310228,Unknown,,Unknown,Good,2026-10-01,,IT Administrator,
359,Printer,BROTHER DCP L3560 CDW,001-C/V/2025,E81703L4N715652,Unknown,,Unknown,Good,2026-10-02,,IT Administrator,
360,Printer,EPSON L4260,001-C/VIII/2025,X8SS038212,Unknown,,Unknown,Good,2026-10-03,,IT Administrator,
361,Printer,HP P1102,001-C/X/2025,VNC6X30362,Unknown,,Unknown,Good,2026-10-04,,IT Administrator,
362,Printer,PRINTER EPSON L360,AUTO-PRINTER-001,X3GW091743,Unknown,,Unknown,Good,2026-10-05,,IT Administrator,
363,Printer,PRINTER EPSON L3110,003-C/X/2024,X5DX172046,Unknown,,Unknown,Good,2026-10-06,,IT Administrator,
364,Printer,HP P1102,001-C/X/2025-2,VNF6K48777,Unknown,,Unknown,Good,2026-10-07,,IT Administrator,
365,Printer,Canon IP2770,AUTO-PRINTER-002,KLJJ05922,Unknown,,Unknown,Good,2026-10-08,,IT Administrator,
366,Printer,BROTHER DCP-L3551CDW,AUTO-PRINTER-003,E79051C3N310212,Unknown,,Unknown,Good,2026-10-09,,IT Administrator,
367,Printer,EPSON L220,AUTO-PRINTER-004,WN5P082723,Unknown,,Unknown,Good,2026-10-10,,IT Administrator,
368,Printer,CANON MP237,AUTO-PRINTER-005,LNKC69156,Unknown,,Unknown,Good,2026-10-11,,IT Administrator,
369,Printer,CANON PIXMA G2730,SA-BTJ-IT/002/0003,KPLH62736,Unknown,,Unknown,Good,2026-10-12,,IT Administrator,
370,Printer,Epson L4260,002-C/SFS/2025,X8SS028389,Unknown,,Unknown,Good,2026-10-13,,IT Administrator,
371,Printer,HP Laserjet P1102,AUTO-PRINTER-006,,Unknown,,Operations > Base Padang > Unit Gunungsitoli,Good,2026-10-14,2021-02-14,IT Administrator,test note
